node,degree,degree_centrality,closeness_centrality,betweenness_centrality,clustering_coefficient
7rg.de,3676,0.2623652844193848,0.5752609129060836,2.46458488286055e-06,0.9052414262767131
7td.org,6777,0.48369138534008993,0.6592750066836106,1.9494403734708663e-05,0.7818769959298754
802.3ether.net,3884,0.27721076297195063,0.5802428683528732,1.5036979806678527e-05,0.7820007092098887
80chars.io,420,0.029976447077296412,0.5073367320734716,7.154829852736838e-10,0.9941129673826571
810video.com,561,0.040039968596103065,0.5099789184194001,2.631865303915984e-08,0.9832824038706391
84bami.net,2316,0.16529869388337734,0.544842657560402,2.8981913310889555e-06,0.8497282497192971
8763.dk,239,0.01705802583684248,0.5040314283334493,3.9369212292011103e-10,0.9917021201786154
8bit.red,8700,0.6209406894582828,0.7249431115116944,5.630356061589056e-05,0.6630334838328623
8bit.social,5211,0.371922061237599,0.6139782146691757,4.882315369919517e-06,0.8860266430343902
8bitar.io,3637,0.2595817571907787,0.574364279817879,1.4933394567640971e-06,0.9315279067087352
8bitorbust.info,6863,0.4898294197416316,0.6619239490408835,2.2372773130383853e-05,0.7657363991001298
906873854.xyz,195,0.013917636143030477,0.5032344261467653,9.55457796593621e-10,0.9941845096484272
91268476.xyz,6235,0.4450074941117693,0.6428407997961663,1.5107566723204716e-05,0.7953847012747179
9600bps.com,2613,0.1864963243166084,0.5511907554402633,2.7617588989954686e-07,0.9720621770403489
9ineverse.com,5849,0.4174577117978731,0.6316763416618499,5.686643929117511e-05,0.7139598383298418
9kb.me,7580,0.541003497252159,0.6852124262066887,6.179071236736355e-05,0.6839110011310937
a.barac.at,105,0.007494111769324103,0.5016120197005262,1.2807404843018087e-10,0.98003663003663
a.bloodyno.se,8738,0.6236528441938477,0.7262590706892739,8.589865345823954e-05,0.6276810744111831
a.brody.zone,4365,0.31154093212475914,0.592017974124208,2.861875724471597e-06,0.9091531986691067
a.dissonant.dev,2053,0.1465277282135465,0.5393029517411857,1.3211823802450393e-07,0.9770311881343234
a.farook.org,7890,0.5631289700949255,0.6957667267196606,3.517646086528306e-05,0.7165657657153974
a.gawlinski.com,4550,0.3247448433373778,0.596684896112148,4.4917195423758155e-06,0.8767583263076778
a.junimo.party,7736,0.5521376061665835,0.6904492452028937,4.4266342657976096e-05,0.7001397774924145
a.lufimianet.jp,5305,0.37863107558347014,0.6165463694064762,2.620551219196833e-05,0.7526395173453997
a.n0id.space,8828,0.6300763685675541,0.7297410569576263,7.118998230357661e-05,0.6400802162552182
a.nti.social,8135,0.580615230890015,0.7043408853659218,4.427114833303116e-05,0.6965225829373967
a.rathersafe.social,1287,0.09185639854400114,0.5238487576955554,8.283224628182847e-08,0.9737535662885585
a.reviewed.world,121,0.008636071657983014,0.5018816939163431,1.6726978057702851e-10,0.9816804407713499
a.sukazyo.cc,2367,0.16893869102847764,0.5459046876129542,1.9107936673095037e-06,0.8784537746222449
