domain,software,users,signup,uptime_alltime
activitypub.garmy.jp,mastodon,4,False,99.98
activitypub.ghost.org,ghost,1,False,99.84
activitypub.good.news,goodnews,190,True,88.84
activitypub.isbrill.com,wordpress,1,True,99.86
activitypub.kkdev.org,mastodon,2,False,
activitypub.lucamatei.com,mastodon,1,False,
activitypub.lullis.net,mastodon,2,False,
activitypub.mnethome.de,mastodon,1,False,
activitypub.moziz.fi,mastodon,2,False,
activitypub.natalenko.name,mastodon,1,False,
activitypub.owenryan.us,mastodon,2,False,
activitypub.stigatle.no,mastodon,0,False,
activitypub.writeworks.uk,wordpress,3,False,100.0
actuallyacat.com,mastodon,1,False,99.77
actuforcesdelordre.fr,wordpress,1,False,98.65
actusgaming.com,wordpress,1,True,99.03
ad-astra.moe,mastodon,1,False,
ad-libitum-51days.whippy.kr,mastodon,61,True,
adambindslev.dk,wordpress,2,False,99.73
adamisacson.com,mastodon,2,False,
adapulawska.org,wordpress,13,False,99.31
adforward.org,mastodon,25,False,
adhd.energy,mastodon,4,True,
adhd.irenes.space,mastodon,1,False,
adhd.recipes,mastodon,3,False,99.97
adho.org,wordpress,1,False,98.62
adii.me,ghost,1,False,99.89
adlsolarpunk.net,mastodon,55,True,99.38
admin.streambroadcaster.cam,mastodon,1,False,
adney.land,mastodon,2,False,99.97
adrift.fyi,mastodon,3,False,
ads.dact.in,wordpress,2,False,100.0
adsei.org,wordpress,4,False,99.5
adsr.noblogs.org,wordpress,1,True,99.0
adtech.life,mastodon,7,False,
adultsocial.realworld.place,mastodon,0,False,
adultswim.fan,lemmy,33,True,99.21
advent.bibliothekarisch.info,wordpress,1,False,99.92
advent.social,mastodon,17,True,
adventcalendar.vivaldi.net,wordpress,1,False,99.92
adventuresuntold-lc1d8fsfxv.live-website.com,wordpress,2,False,100.0
advisist.group,wordpress,2,False,30.46
adxm.social,mastodon,1,False,99.93
ae.mittorn.run.place,mastodon,0,False,
aelf.ee,mastodon,2,False,
aeronavis.felesitas.cloud,mastodon,1,False,
aes.id.au,wordpress,1,False,96.62
aethernet.social,mastodon,2,False,99.63
aethy.com,mastodon,45885,True,
afcolegiado.app,mastodon,3,True,
affinityforest.com,writefreely,1,False,99.94
afhub.top,misskey,21,True,99.92
afnsocial.co,mastodon,1,False,99.95
afop.social,mastodon,3,False,99.99
after1ife.rip,misskey,5,False,99.29
afterlife.thesprawl.online,mastodon,1,False,
afternoonauthor.online,mastodon,5,True,
afterspace.rocks,mastodon,22,True,
agda.club,akkoma,20,True,99.73
